iter	Passed	Remaining
782	20740	14436
783	20767	14409
784	20792	14382
785	20817	14355
786	20843	14327
787	20868	14300
788	20893	14273
789	20918	14245
790	20945	14219
791	20971	14192
792	20997	14166
793	21024	14139
794	21050	14113
795	21076	14086
796	21102	14059
797	21128	14032
798	21153	14005
799	21180	13978
800	21206	13952
801	21232	13925
802	21257	13898
803	21283	13871
804	21309	13844
805	21337	13818
806	21362	13791
807	21387	13764
808	21413	13737
809	21438	13710
810	21465	13683
811	21490	13656
812	21516	13629
813	21541	13602
814	21568	13576
815	21595	13549
816	21620	13522
817	21646	13495
818	21671	13468
819	21699	13442
820	21724	13415
821	21751	13389
822	21777	13362
823	21803	13335
824	21828	13308
825	21853	13281
826	21879	13254
827	21905	13228
828	21931	13201
829	21958	13175
830	21983	13147
831	22008	13120
832	22034	13093
833	22059	13066
834	22086	13040
835	22111	13012
836	22137	12986
837	22163	12959
838	22194	12936
839	22220	12909
840	22245	12882
841	22271	12854
842	22297	12828
843	22323	12801
844	22349	12775
845	22376	12749
846	22401	12721
847	22429	12696
848	22454	12668
849	22479	12641
850	22506	12615
851	22532	12588
852	22558	12561
853	22583	12534
854	22609	12507
855	22634	12480
856	22660	12453
857	22685	12426
858	22711	12400
859	22737	12373
860	22762	12346
861	22786	12318
862	22813	12292
863	22840	12265
864	22866	12239
865	22891	12212
866	22916	12185
867	22942	12158
868	22968	12131
869	22994	12105
870	23019	12078
871	23045	12051
872	23070	12024
873	23097	11998
874	23122	11970
875	23148	11944
876	23174	11917
877	23200	11891
878	23226	11864
879	23253	11837
880	23279	11811
881	23307	11785
882	23332	11758
883	23359	11732
884	23385	11705
885	23412	11679
886	23437	11652
887	23464	11626
888	23489	11599
889	23514	11572
890	23539	11545
891	23565	11518
892	23592	11492
893	23617	11465
894	23644	11439
895	23669	11412
896	23695	11385
897	23721	11359
898	23747	11332
899	23772	11305
900	23798	11278
901	23824	11252
902	23851	11225
903	23877	11199
904	23903	11172
905	23928	11145
906	23964	11123
907	23995	11099
908	24027	11075
909	24058	11051
910	24084	11024
911	24109	10997
912	24135	10970
913	24162	10944
914	24189	10918
915	24223	10895
916	24250	10869
917	24276	10842
918	24304	10816
919	24329	10789
920	24356	10763
921	24381	10736
922	24406	10709
923	24432	10682
924	24460	10656
925	24485	10629
926	24510	10602
927	24536	10575
928	24561	10549
929	24587	10522
930	24614	10496
931	24640	10469
932	24667	10443
933	24692	10416
934	24718	10389
935	24744	10362
936	24769	10336
937	24795	10309
938	24821	10282
939	24847	10256
940	24873	10229
941	24897	10202
942	24922	10175
943	24947	10148
944	24974	10122
945	25001	10095
946	25028	10069
947	25054	10042
948	25082	10017
949	25108	9990
950	25135	9964
951	25160	9937
952	25186	9910
953	25213	9884
954	25238	9857
955	25262	9830
956	25287	9803
957	25313	9776
958	25338	9749
959	25364	9722
960	25389	9696
961	25414	9669
962	25440	9642
963	25465	9615
964	25491	9589
965	25517	9562
966	25542	9535
967	25568	9509
968	25594	9482
969	25621	9456
970	25646	9429
971	25673	9402
972	25699	9376
973	25725	9350
974	25751	9323
975	25777	9296
976	25803	9270
977	25829	9243
978	25855	9217
979	25881	9190
980	25908	9164
981	25933	9137
982	25959	9110
983	25985	9084
984	26010	9057
985	26037	9031
986	26065	9005
987	26092	8979
988	26117	8952
989	26142	8925
990	26169	8899
991	26195	8872
992	26223	8846
993	26253	8821
994	26280	8795
995	26307	8769
996	26332	8742
997	26359	8715
998	26386	8689
999	26412	8663
1000	26438	8636
1001	26463	8609
1002	26489	8583
1003	26515	8556
1004	26540	8530
1005	26567	8503
1006	26592	8476
1007	26618	8450
1008	26644	8423
1009	26668	8396
1010	26694	8370
1011	26722	8344
1012	26746	8317
1013	26773	8290
1014	26797	8263
1015	26824	8237
1016	26849	8210
1017	26874	8183
1018	26901	8157
1019	26928	8131
1020	26954	8104
1021	26980	8078
1022	27005	8051
1023	27031	8024
1024	27057	7998
1025	27083	7971
1026	27108	7945
1027	27135	7919
1028	27161	7892
1029	27187	7865
1030	27213	7839
1031	27239	7812
1032	27264	7785
1033	27289	7759
1034	27314	7732
1035	27340	7706
1036	27366	7679
1037	27393	7653
1038	27419	7626
1039	27445	7600
1040	27472	7573
1041	27498	7547
1042	27523	7520
1043	27550	7494
1044	27577	7468
1045	27603	7441
1046	27629	7415
1047	27655	7388
1048	27682	7362
1049	27708	7336
1050	27733	7309
1051	27759	7282
1052	27785	7256
1053	27810	7229
1054	27837	7203
1055	27862	7176
1056	27888	7150
1057	27914	7123
1058	27939	7096
1059	27965	7070
1060	27990	7043
1061	28016	7017
1062	28042	6990
1063	28069	6964
1064	28095	6938
1065	28120	6911
1066	28147	6885
1067	28174	6859
1068	28200	6832
1069	28226	6805
1070	28257	6780
1071	28282	6754
1072	28308	6727
1073	28334	6701
1074	28360	6674
1075	28385	6647
1076	28412	6621
1077	28437	6595
1078	28463	6568
1079	28490	6542
1080	28516	6515
1081	28542	6489
1082	28567	6462
1083	28593	6436
1084	28621	6410
1085	28647	6383
1086	28673	6357
1087	28700	6330
1088	28725	6304
1089	28752	6278
1090	28778	6251
1091	28804	6225
1092	28830	6198
1093	28855	6172
1094	28880	6145
1095	28905	6118
1096	28931	6092
1097	28958	6065
1098	28984	6039
1099	29010	6013
1100	29035	5986
1101	29062	5960
1102	29089	5933
1103	29116	5907
1104	29142	5881
1105	29167	5854
1106	29194	5828
1107	29219	5801
1108	29245	5775
1109	29270	5748
1110	29295	5722
1111	29320	5695
1112	29346	5668
1113	29372	5642
1114	29398	5615
1115	29423	5589
1116	29450	5563
1117	29477	5536
1118	29504	5510
1119	29529	5484
1120	29554	5457
1121	29581	5431
1122	29606	5404
1123	29632	5378
1124	29658	5351
1125	29683	5325
1126	29709	5298
1127	29734	5272
1128	29761	5245
1129	29787	5219
1130	29813	5192
1131	29839	5166
1132	29865	5140
1133	29890	5113
1134	29914	5086
1135	29940	5060
1136	29966	5033
1137	29990	5007
1138	30017	4980
1139	30043	4954
1140	30068	4928
1141	30095	4901
1142	30120	4875
1143	30148	4849
1144	30174	4822
1145	30200	4796
1146	30227	4769
1147	30252	4743
1148	30282	4717
1149	30307	4691
1150	30333	4664
1151	30359	4638
1152	30384	4611
1153	30410	4585
1154	30435	4558
1155	30460	4532
1156	30488	4506
1157	30514	4479
1158	30540	4453
1159	30566	4426
1160	30593	4400
1161	30619	4374
1162	30646	4347
1163	30673	4321
1164	30699	4295
1165	30725	4268
1166	30751	4242
1167	30776	4216
1168	30803	4189
1169	30830	4163
1170	30856	4136
1171	30882	4110
1172	30909	4084
1173	30935	4058
1174	30960	4031
1175	30986	4005
1176	31011	3978
1177	31037	3952
1178	31062	3925
1179	31088	3899
1180	31114	3872
1181	31139	3846
1182	31167	3820
1183	31193	3793
1184	31219	3767
1185	31244	3740
1186	31270	3714
1187	31297	3688
1188	31323	3661
1189	31349	3635
1190	31374	3608
1191	31399	3582
1192	31425	3556
1193	31450	3529
1194	31474	3503
1195	31502	3476
1196	31527	3450
1197	31552	3423
1198	31576	3397
1199	31602	3370
1200	31627	3344
1201	31653	3318
1202	31678	3291
1203	31703	3265
1204	31728	3238
1205	31753	3212
1206	31779	3185
1207	31805	3159
1208	31830	3132
1209	31855	3106
1210	31882	3080
1211	31908	3053
1212	31934	3027
1213	31959	3001
1214	31984	2974
1215	32009	2948
1216	32035	2921
1217	32062	2895
1218	32089	2869
1219	32115	2842
1220	32141	2816
1221	32166	2790
1222	32193	2763
1223	32219	2737
1224	32246	2711
1225	32272	2685
1226	32303	2659
1227	32330	2632
1228	32355	2606
1229	32381	2579
1230	32407	2553
1231	32432	2527
1232	32458	2500
1233	32484	2474
1234	32509	2448
1235	32535	2421
1236	32560	2395
1237	32585	2368
1238	32611	2342
1239	32636	2316
1240	32664	2289
1241	32691	2263
1242	32716	2237
1243	32742	2210
1244	32767	2184
1245	32792	2158
1246	32819	2131
1247	32844	2105
1248	32870	2079
1249	32897	2052
1250	32922	2026
1251	32950	2000
1252	32976	1973
1253	33003	1947
1254	33028	1921
1255	33053	1894
1256	33079	1868
1257	33104	1842
1258	33131	1815
1259	33159	1789
1260	33186	1763
1261	33212	1736
1262	33238	1710
1263	33263	1684
1264	33288	1657
1265	33313	1631
1266	33339	1605
1267	33365	1578
1268	33391	1552
1269	33418	1526
1270	33445	1499
1271	33470	1473
1272	33496	1447
1273	33522	1420
1274	33549	1394
1275	33574	1368
1276	33599	1341
1277	33624	1315
1278	33649	1289
1279	33675	1262
1280	33700	1236
1281	33725	1210
1282	33751	1183
1283	33778	1157
1284	33802	1131
1285	33828	1104
1286	33855	1078
1287	33883	1052
1288	33909	1025
1289	33935	999
1290	33960	973
1291	33986	946
1292	34012	920
1293	34038	894
1294	34065	868
1295	34091	841
1296	34116	815
1297	34142	789
1298	34170	762
1299	34195	736
1300	34221	710
1301	34246	683
1302	34272	657
1303	34298	631
1304	34333	605
1305	34360	578
1306	34386	552
1307	34412	526
1308	34438	499
1309	34464	473
1310	34489	447
1311	34515	420
1312	34542	394
1313	34568	368
1314	34593	341
1315	34619	315
1316	34645	289
1317	34670	263
1318	34696	236
1319	34724	210
1320	34749	184
1321	34775	157
1322	34800	131
1323	34827	105
1324	34854	78
1325	34880	52
1326	34906	26
1327	34932	0
